name,track_number,duration_ms,duration,explicit,popularity,external_url,diva_id,diva_name,album_id,album_name,diva_popularity,diva_followers,diva_image_url,album_total_tracks,release_date,release_year,decada,album_image_url,temas_principales,emocion_alegria,emocion_tristeza,emocion_miedo,emocion_ira,emocion_sorpresa,emocion_asco,emocion_principal,resumen,tono_general,energia_emocional,valencia,activacion
Faz Gostoso (feat. Anitta),11,245706,4:06,FALSE,47,https://open.spotify.com/track/2SC14LGDbRWRlyLg9Wupa0,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"Seducción, Deseo, Peligro",0.8,0,0.2,0.1,0.1,0,alegría,"La letra narra una intensa y peligrosa atracción física. Una mujer, a pesar de ser casada, se rinde al placer que le provoca un hombre seductor y arriesgado. Es una celebración del deseo carnal y la seducción, reconociendo el peligro de lo prohibido.",positivo,alta,0.7,0.8
Bitch I’m Loca (feat. Maluma),12,170837,2:51,FALSE,34,https://open.spotify.com/track/4EoMHVpNZTLVfAIgYzfufZ,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"Seducción, fiesta, deseo",0.8,0,0.1,0,0.2,0,alegría,"Describe una interacción cargada de seducción y deseo en la pista de baile. Es un juego de provocación mutua donde ambos personajes abrazan su lado 'loco' y apasionado, entregándose a la atracción física y al flirteo sin inhibiciones.",positivo,alta,0.8,0.9
I Don’t Search I Find,13,248004,4:08,FALSE,33,https://open.spotify.com/track/6RwkmsgTmxUK2TziYWqlqL,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"amor encontrado, autoconfianza, destino",0.9,0.1,0,0,0.4,0,alegría,"Celebración del hallazgo del amor, la paz y la belleza sin una búsqueda activa. La letra refleja una filosofía de autoconfianza y aceptación del destino, culminando en una plenitud emocional y una conexión profunda con otra persona después de una larga espera.",positivo,alta,0.8,0.7
Looking For Mercy,14,290231,4:50,FALSE,28,https://open.spotify.com/track/1MyVadO3ei1DGHVbDowQGv,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"Misericordia, búsqueda, vulnerabilidad",0.1,0.8,0.5,0.2,0,0.1,tristeza,"La letra es una súplica vulnerable por misericordia, amor y autoperdón. Describe una profunda lucha interna y la búsqueda desesperada de guía para sobrevivir a un 'infierno' personal, anhelando comprensión y paz.",negativo,media,-0.7,0.4
I Rise,15,224038,3:44,FALSE,31,https://open.spotify.com/track/7utnsT1Zjty7H3sO46vpt8,6tbjWDEIzxoDsBA1FuhfPW,Madonna,1G2YEQPXaOj1JZwa3ZiGe8,Madame X,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,15,2019-06-14,2019,Años 2010,https://i.scdn.co/image/ab67616d0000b273fa3f9b299ec4a1b18164726d,"Superación, resiliencia, empoderamiento",0.7,0.4,0.2,0.5,0,0.1,alegría,"Un himno de resiliencia y empoderamiento. A pesar de reconocer el dolor y las dificultades pasadas, la voz narrativa proclama su inquebrantable capacidad de sobrevivir y elevarse por encima de la adversidad, transformando el sufrimiento en fortaleza y libertad.",positivo,alta,0.6,0.8
Living For Love,1,218720,3:39,FALSE,43,https://open.spotify.com/track/5AMuHsWAaGAZHX4p1KZWwc,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"resiliencia, superación, desamor",0.8,0.5,0.1,0.2,0.3,0.2,alegría,"Tras una dolorosa traición y ruptura, la narradora rechaza la amargura. En su lugar, encuentra fuerza en la verdad, se recupera y decide seguir adelante, eligiendo vivir por el amor con una renovada sensación de poder y optimismo.",positivo,alta,0.6,0.8
Devil Pray,2,245746,4:06,FALSE,39,https://open.spotify.com/track/2upReikM2zi3kd0Nl2yaTM,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"redención, tentación, espiritualidad",0.1,0.7,0.8,0.1,0,0.2,miedo,"La letra describe una crisis espiritual, donde la protagonista se siente perdida entre tentaciones y vicios. Busca desesperadamente la redención y una guía para salvar su alma del mal, reconociendo su propia debilidad y el peligro inminente.",negativo,alta,-0.8,0.7
Ghosttown,3,249600,4:10,FALSE,47,https://open.spotify.com/track/4yDLW1kpgN7RGa6wCtxlL8,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"Apocalipsis, Amor, Supervivencia",0.7,0.6,0.5,0.2,0.1,0,alegría,"En un mundo postapocalíptico, dos personas encuentran refugio en su amor. Se prometen lealtad y ser la luz del otro, sobreviviendo juntos como las únicas almas en un pueblo fantasma.",positivo,alta,0.6,0.7
Unapologetic Bitch,4,231240,3:51,TRUE,37,https://open.spotify.com/track/4NXMr3Zbt4eAmgwyc3goLq,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"Ruptura, Empoderamiento, Confrontación",0.8,0.1,0,0.9,0,0.5,ira,"La narradora celebra haber superado una ruptura. Se muestra fuerte, desafiante y sin remordimientos hacia su ex, a quien acusa de egoísmo. Expresa su liberación y nuevo poder, disfrutando de su vida sin él y bloqueando cualquier intento de contacto.",negativo,alta,-0.5,0.8
Illuminati,5,224613,3:45,FALSE,32,https://open.spotify.com/track/29ElwBGAlQQr94ifFjYNI1,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"conspiraciones, desmitificación, iluminación",0.8,0,0.1,0.3,0.5,0.1,alegría,"Desmitifica las teorías conspirativas sobre los Illuminati, redefiniendo el término no como una élite secreta, sino como un estado de iluminación y verdad. Es una invitación a la celebración, a bailar y a brillar con luz propia, transformando la oscuridad en algo positivo a través de la música.",positivo,alta,0.8,0.9
Bitch I'm Madonna,6,227480,3:47,TRUE,59,https://open.spotify.com/track/2bZMOs3RjmhhGca6MEzjyl,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"fiesta, confianza, empoderamiento",0.9,0,0,0.3,0.1,0.1,alegría,"Una celebración hedonista de fiesta, poder y autoconfianza. La cantante se proclama una figura dominante e imparable, viviendo la noche al máximo sin pedir disculpas y reafirmando su estatus icónico con una actitud desafiante.",positivo,alta,0.8,0.9
Hold Tight,7,217413,3:37,FALSE,32,https://open.spotify.com/track/1MSDYFqzCsVkXAU5BgKs63,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"Resiliencia, unidad, esperanza",0.8,0.1,0.1,0,0,0,alegría,"La letra narra la superación de adversidades a través de la unidad y el amor. Es un mensaje de esperanza y resiliencia, asegurando que la compañía mutua garantiza que todo estará bien, a pesar de las cicatrices del pasado.",positivo,alta,0.8,0.7
Joan Of Arc,8,241800,4:02,FALSE,35,https://open.spotify.com/track/5iVB1TQWZwjcrIoTPdECZ8,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"Vulnerabilidad, Fama, Resiliencia",0.1,0.8,0.4,0.3,0,0.1,tristeza,"La letra expone la vulnerabilidad de una figura pública ante las críticas. Expresa un profundo dolor y la necesidad de apoyo, reconociendo su humanidad frente a la presión de ser una heroína invencible. La resiliencia surge a través del consuelo de un ser querido.",negativo,alta,-0.7,0.6
Iconic,9,273280,4:33,FALSE,34,https://open.spotify.com/track/2pNxL8YsPdBAopzN4hy4PP,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"superación, ambición, autoestima",0.8,0,0.1,0.4,0,0,alegría,"Un himno motivacional sobre la perseverancia, el trabajo duro y la autoconfianza para superar obstáculos y alcanzar un estatus icónico. La letra inspira a abrazar el propio potencial y brillar, sin dejarse vencer por el fracaso o la crítica.",positivo,alta,0.8,0.9
HeartBreakCity,10,213666,3:34,TRUE,30,https://open.spotify.com/track/6bDv5usgImyzAIU6pFRDkA,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"desamor, traición, resiliencia",0,0.8,0.1,0.9,0.5,0.4,ira,"La letra describe el dolor y la rabia tras una ruptura. La cantante se siente utilizada, traicionada y abandonada en una metafórica 'ciudad del desamor', pero muestra resolución al afirmar que su ex no obtendrá más de ella.",negativo,alta,-0.8,0.7
Body Shop,11,219400,3:39,TRUE,28,https://open.spotify.com/track/5ioO0oUd7LRWbYYjZLc42f,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"seducción, deseo, metáfora automovilística",0.8,0,0,0,0.1,0,alegría,"La letra utiliza una extensa metáfora sobre un coche y un taller mecánico para expresar un fuerte deseo y seducción. La narradora invita a su interés amoroso a ""repararla"", describiendo actos íntimos como si fueran arreglos a un vehículo, con un tono juguetón y apasionado.",positivo,alta,0.8,0.8
Holy Water,12,249133,4:09,TRUE,31,https://open.spotify.com/track/6gF0FhEbbf2s6BjZx1PJJW,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"Sexualidad, Poder, Religión",0.7,0,0,0.3,0.1,0,alegría,"La letra usa imaginería religiosa y blasfema para describir actos sexuales explícitos. La cantante se posiciona con poder y dominio, presentando su sexualidad como una experiencia sagrada y transgresora que ofrece salvación, desafiando a los oyentes con una actitud confrontacional y de empoderamiento.",positivo,alta,0.6,0.8
Inside Out,13,263573,4:24,FALSE,30,https://open.spotify.com/track/1n2mtdytZ0ZUVEha3oHKmQ,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"intimidad, vulnerabilidad, aceptación",0.7,0.2,0.1,0,0.1,0,alegría,"La letra expresa un deseo intenso de intimidad y conexión total, pidiendo a la otra persona que se muestre vulnerable y revele sus imperfecciones y miedos para ser amada de forma completa e incondicional, desde adentro hacia afuera.",positivo,alta,0.8,0.7
Wash All Over Me,14,240906,4:01,FALSE,30,https://open.spotify.com/track/30vA6YzScXfbCdl0fLrQE0,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"Resignación, confusión, aceptación",0.1,0.8,0.5,0.1,0.2,0,tristeza,"La letra describe una sensación de alienación y confusión en un mundo cambiante. Ante la disyuntiva de huir o quedarse, el narrador opta por una rendición pasiva, dejando que los abrumadores sentimientos de tristeza e incertidumbre lo inunden por completo como un acto de aceptación.",negativo,media,-0.7,-0.3
Best Night,15,213586,3:34,FALSE,27,https://open.spotify.com/track/3McJP9776lBXnhONMBsHli,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"seducción, pasión, fantasía",0.9,0,0,0,0.2,0,alegría,"La narradora promete a su pareja una noche inolvidable de pasión y libertad, invitándole a abandonar sus inhibiciones y cumplir sus fantasías para vivir juntos la mejor noche de su vida.",positivo,alta,0.9,0.8
Veni Vidi Vici,16,279626,4:40,TRUE,27,https://open.spotify.com/track/5yfuKMXpU8V8v1u9a4NVAN,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"superación, éxito, autobiografía",0.8,0.2,0.2,0.4,0.1,0,alegría,"Madonna y Nas reflexionan sobre sus carreras, narrando su ascenso desde orígenes humildes. A través de la perseverancia y una actitud intrépida, superaron críticas y dificultades para conquistar la industria musical, celebrando su éxito y legado con orgullo.",positivo,alta,0.7,0.8
S.E.X.,17,251493,4:11,FALSE,33,https://open.spotify.com/track/7qeLPIt6hwhud9y0jt0Fe5,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"sexo, deseo, BDSM",0.8,0,0.1,0.2,0.1,0,alegría,"La letra describe de forma explícita y directa un encuentro sexual intenso y apasionado. Explora temas de deseo carnal, dominación, sumisión y diversos fetiches sin inhibiciones, centrándose en el placer y la excitación física.",positivo,alta,0.8,0.9
Messiah,18,202293,3:22,FALSE,31,https://open.spotify.com/track/4WQ5Sys59cv4YfqHmobpnW,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"Devoción, obsesión, anhelo",0.3,0.6,0.2,0,0.1,0,tristeza,"La narradora expresa una devoción obsesiva, usando metáforas místicas para conquistar el amor de alguien. Anhela una conexión profunda y protectora, viendo a la otra persona como su salvador y fuente de luz, decidida a forzar su amor.",negativo,alta,-0.5,0.7
Rebel Heart,19,201626,3:22,FALSE,35,https://open.spotify.com/track/2YSexVFjvL8Hg7uGvanBOO,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,Rebel Heart,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,19,2015-03-06,2015,Años 2010,https://i.scdn.co/image/ab67616d0000b273ce3289d289ff7fc3c245af34,"rebeldía, autoaceptación, supervivencia",0.8,0.3,0.4,0.5,0.1,0,alegría,"Narra la trayectoria de una persona que rechaza las expectativas sociales. A través de la lucha y la soledad, finalmente encuentra la autoaceptación y el orgullo en su identidad rebelde, sintiéndose satisfecha con quién es y dónde ha llegado.",positivo,alta,0.6,0.7
Girl Gone Wild,1,223066,3:43,FALSE,42,https://open.spotify.com/track/6SONqPbbSCVP5rgi0CdRxu,6tbjWDEIzxoDsBA1FuhfPW,Madonna,6xmfXi6p6SAxD4Rd7swccG,MDNA,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,17,2012-01-01,2012,Años 2010,https://i.scdn.co/image/ab67616d0000b273a10a2e61655cd1949bbc6903,"Liberación, hedonismo, rebelión",0.9,0,0,0,0.1,0,alegría,"Una mujer rompe con su imagen de 'chica buena' para abrazar su lado salvaje y desinhibido en la pista de baile. La letra yuxtapone la culpa religiosa con el placer hedonista, celebrando la liberación, el deseo y la diversión sin restricciones.",positivo,alta,0.9,0.9
Gang Bang,2,326040,5:26,TRUE,29,https://open.spotify.com/track/5IYWdpFJAeKLggc7B8xtJm,6tbjWDEIzxoDsBA1FuhfPW,Madonna,6xmfXi6p6SAxD4Rd7swccG,MDNA,78,8789558,https://i.scdn.co/image/ab6761610000e5eb6ccc1215f5b205aa6b34b48b,17,2012-01-01,2012,Años 2010,https://i.scdn.co/image/ab67616d0000b273a10a2e61655cd1949bbc6903,"venganza, traición, ira",0.1,0.2,0.4,0.9,0.3,0.7,ira,"La narradora describe una fantasía de venganza violenta contra un amante traidor. Impulsada por una ira intensa, relata cómo le dispara repetidamente sin ningún remordimiento, sintiendo que es un castigo merecido.",negativo,alta,-0.9,0.9
